location,lats,lons,zoom
Caribbean,32.2071182056275,-64.62952031277278,2
Indian ocean,-8.795402923767782,48.71916711100263,2
Mediterranean,36.54077343951718,18.462904485503884,2
North Atlantic,35.268083861585446,-46.773868407423585,2
North Pacific,39.845830024793436,-178.74575083249982,2
South Atlantic,-18.74910861450977,-15.510247341130118,2
South China Sea,16.82619835233321,107.33069167962653,2
South Pacific,7.072922001367506,-113.74725917366027,2
