location;lats;lons
Caribbean;18,06376440000000;-80,3864501000000
South China Sea;9,12636574483822;123,4905552325482
North Pacific;39,84583002479344;-178,7457508324998
Indian ocean;-13,77142590566243;72,5881118167347
North Atlantic;35,26808386158545;-46,7738684074236
Mediterranean;36,54077343951718;18,4629044855039
South Atlantic;-18,74910861450977;-15,5102473411301
South Pacific;11,34682079953457;-126,3202327561095
